ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,mTurkCode,consent,gender,age,educat,andr_os,andr_ver,andr_root,mobile_len,fact_1,fact_2,fact_3,fact_4,fact_5,fact_6,fact_7,fact_8,fact_10,fact_9,fact_9_TEXT,fact_det1,fact_det2,fact_det3,fact_det4,fact_det5,fact_det6,fact_det7,fact_det8,fact_det9,behav_1,behav_2,behav_3,behav_4,behav_5,behav_7,behav_8,behav_9,behav_10,behav_11,behav_12,behav_13,behav_14,root_sec,popular,flash_q,flash_l_1,flash_l_2,flash_l_3,flash_l_4,flash_l_5,flash_u_1,flash_u_2,flash_u_3,flash_u_4,cab_q,cab_l_1,cab_l_2,cab_l_3,cab_l_4,cab_l_5,cab_u_1,cab_u_2,cab_u_3,cab_u_4,play_q,play_l_1,play_l_2,play_l_3,play_l_4,play_u_1,play_u_2,play_u_3,play_u_4,play_u_5,play_u_6,comm_q,comm_l_1,comm_l_2,comm_l_3,comm_l_4,comm_l_5,comm_l_6,com_u_1,com_u_2,com_u_3,com_u_4,com_u_5,soc_q,soc_l_1,soc_l_2,soc_l_3,soc_l_4,soc_l_5,soc_u_1,soc_u_2,soc_u_3,soc_u_4,soc_u_5,muipc_1,muipc_2,muipc_3,muipc_4,muipc_5,muipc_6,muipc_7,muipc_8,muipc_9,noq,ret,p_model1,p_model2,comments
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,mTurkCode,What are some general things you should know about research studies? You are being asked to take...,What is your gender?,How old are you?,What is the highest level of education you have completed?,Do you use a mobile device running on an Android operating system?,What version of Android are you running? ,Are you running a rooted version of Android?,How long have you been using a mobile device?,Select 1-3 factors that you consider most while installing apps.-3rd party reviews,Select 1-3 factors that you consider most while installing apps.-Number of downloads,Select 1-3 factors that you consider most while installing apps.-Company reputation,Select 1-3 factors that you consider most while installing apps.-App descriptions,Select 1-3 factors that you consider most while installing apps.-Play Store ratings (i.e. stars received),Select 1-3 factors that you consider most while installing apps.-Permission requests,Select 1-3 factors that you consider most while installing apps.-Popularity among peers,Select 1-3 factors that you consider most while installing apps.-Number of user ratings,Select 1-3 factors that you consider most while installing apps.-Friends' suggestions,Select 1-3 factors that you consider most while installing apps.-Other,Select 1-3 factors that you consider most while installing apps.-Other,I sometimes install and use an app reluctantly because everyone around me seems to be using it.,I believe that different apps with similar functions request the same permissions.,I believe that apps developed and distributed by large and well-known companies are trustworthy.,"If an app requests one or more permissions that seem unrelated to the major function of that app,...","Before updating an app that is already installed on my mobile device, I consider any additional p...","When updating an app that is already installed on my mobile device, I am likely to accept any add...",I start to have doubts about an app's quality and reliability when its rating is below which of t...,"If an app is developed by a well-known company, I believe that my data (as related to that app) i...","If an app is developed by a lesser known company, I believe that my data (as related to that app)...",Please select all of the behaviors that you think can be performed by an app.-Record audio,Please select all of the behaviors that you think can be performed by an app.-Read text messages,Please select all of the behaviors that you think can be performed by an app.-Read data from other apps,Please select all of the behaviors that you think can be performed by an app.-Subscribe you to premium SMS services,Please select all of the behaviors that you think can be performed by an app.-Prevent calls from being placed/received,Please select all of the behaviors that you think can be performed by an app.-Send spam/phishing emails to all of your contacts,Please select all of the behaviors that you think can be performed by an app.-Determine whether you are at home,Please select all of the behaviors that you think can be performed by an app.-Create contacts,Please select all of the behaviors that you think can be performed by an app.-Add and remove events from your calendar,Please select all of the behaviors that you think can be performed by an app.-Fill up your storage,Please select all of the behaviors that you think can be performed by an app.-Prevent you from installing and uninstalling apps,Please select all of the behaviors that you think can be performed by an app.-Make your bed,Please select all of the behaviors that you think can be performed by an app.-Decrease time between charges,I believe that rooted devices are as secure as unrooted devices.,"When an app with excessive permissions is very popular, I believe that:",You are in a situation where you need to install a flashlight app on your smartphone. You find on...,Imagine again that you need to install a flashlight app on your smartphone. You find one such app...-Flashy's description says that it uses your location data to show ads which are targeted towards people in your area.,"Imagine again that you need to install a flashlight app on your smartphone. You find one such app...-When looking at other flashlight apps, a majority only request permissions for the camera.",Imagine again that you need to install a flashlight app on your smartphone. You find one such app...-There are 1 million user ratings of Flashy; the average rating is 2 stars.,Imagine again that you need to install a flashlight app on your smartphone. You find one such app...-Please select the third option for this question.,Imagine again that you need to install a flashlight app on your smartphone. You find one such app...-You are aware that Android has a flashlight access permission separate from the camera access permission.,Imagine again that you need to install a flashlight app on your smartphone. You find one such app...-There are 1 million user ratings of Flashy; the average rating is 4.5 stars.,Imagine again that you need to install a flashlight app on your smartphone. You find one such app...-Many of your friends use Flashy and rave about its features.,Imagine again that you need to install a flashlight app on your smartphone. You find one such app...-Flashy tells you in its description that it only uses your location data to show ads which are targeted towards people in your area.,"Imagine again that you need to install a flashlight app on your smartphone. You find one such app...-When looking at other flashlight apps, a majority request similar permissions as Flashy.",You are in a situation where you need to install a cab sharing app on your smartphone. You find o...,Imagine again that you need to install a cab sharing app on your smartphone. You find one such ap...-Cabbie uses the contact list on your phone to randomly select some people for the promotion of their app deals.,"Imagine again that you need to install a cab sharing app on your smartphone. You find one such ap...-You have heard about another cab sharing app that will only ask for permission to access your location, but you will have to search for the app in order to find it and compare it against Cabbie.",Imagine again that you need to install a cab sharing app on your smartphone. You find one such ap...-Most of your friends use different cab sharing apps.,Imagine again that you need to install a cab sharing app on your smartphone. You find one such ap...-You did a search for cab sharing apps on the Play Store and Cabbie was not present on the first page of search results.,"Imagine again that you need to install a cab sharing app on your smartphone. You find one such ap...-Cabbie requests access to more permissions (access to media, external storage, device info).",Imagine again that you need to install a cab sharing app on your smartphone. You find one such ap...-Cabbie was suggested to you by a good friend of yours who has been using it for some time.,Imagine again that you need to install a cab sharing app on your smartphone. You find one such ap...-Cabbie only uses the SMS permission to automate the process of user profile validation by sending a SMS to your mobile number and detecting it on your device.,Imagine again that you need to install a cab sharing app on your smartphone. You find one such ap...-Cabbie gives you your first three rides free when booking via the app.,Imagine again that you need to install a cab sharing app on your smartphone. You find one such ap...-Cabbie has been praised on the internet by many users and blogs for having really cool features.,You are in a situation where you need to install a game app on your smartphone. You find an inter...,Imagine again that you need to install a game app on your smartphone. You find an interesting gam...-The game requires you to login via Facebook and requests permissions to share your scores and compete with your Facebook friends.,"Imagine again that you need to install a game app on your smartphone. You find an interesting gam...-PlayMeNow is not developed or owned by a well known company, but by a developer with a few other moderately popular games.",Imagine again that you need to install a game app on your smartphone. You find an interesting gam...-You had heard someone mention that the game app shares the location data with a famous food delivery website which in turn uses that data to customize ads and deals.,"Imagine again that you need to install a game app on your smartphone. You find an interesting gam...-You have decided to install PlayMeNow before looking at the app permissions, but when clicking the Install button, it requests many more permissions than previously mentioned.","Imagine again that you need to install a game app on your smartphone. You find one such app named...-Based on its description, you can really see yourself getting hooked to PlayMeNow.","Imagine again that you need to install a game app on your smartphone. You find one such app named...-You were thinking about installing the app for a short amount of time (e.g., just while you are waiting for a flight at an airport) and plan to uninstall it after this short period is over.",Imagine again that you need to install a game app on your smartphone. You find one such app named...-PlayMeNow is developed and owned by a major and familiar technology company.,Imagine again that you need to install a game app on your smartphone. You find one such app named...-PlayMeNow's app description says that the location data collected is only shared with a famous food delivery website which uses the data to customize ads and deals.,"Imagine again that you need to install a game app on your smartphone. You find one such app named...-PlayMeNow requires you to log into Facebook in order to share scores and compete with your friends, but it also gives you full control over any sharing of scores or posting anything to Facebook.","Imagine again that you need to install a game app on your smartphone. You find one such app named...-You are really bored and have nothing else to do (e.g., waiting for a flight at an airport). You have been browsing the Play Store and have already rejected 5 other apps. Then you find PlayMeNow.",You are in a situation where you need to install a smartphone app that enables you to communicate...,"Imagine again that you need to install a smartphone app that enables you to communicate with othe...-You have not heard much about CommApp, but it was one of the first search results to show up in the Play Store.","Imagine again that you need to install a smartphone app that enables you to communicate with othe...-Not many of your friends use CommApp, but you have heard it praised many times by 3rd party reviews online.",Imagine again that you need to install a smartphone app that enables you to communicate with othe...-You read an article stating that people should avoid using CommApp for sending sensitive and/or private data to others.,Imagine again that you need to install a smartphone app that enables you to communicate with othe...-CommApp mentions that all files transmitted through the app will have to be retained for a short period of time on a secure server belonging to the app's developer.,Imagine again that you need to install a smartphone app that enables you to communicate with othe...-CommApp has been downloaded more than 10 million times.,Imagine again that you need to install a smartphone app that enables you to communicate with othe...-CommApp's description mentions nothing about video chat functionality.,Imagine again that you need to install a smartphone app that enables you to communicate with othe...-You are traveling to different countries on a vacation and most of your friends and family back home use CommApp.,Imagine again that you need to install a smartphone app that enables you to communicate with othe...-CommApp's description explicitly mentions that all permissions are needed for the app's core functionality and that the app does not collect any additional and unnecessary information.,"Imagine again that you need to install a smartphone app that enables you to communicate with othe...-Based on reviews, CommApp should perform better than the communications app you had to recently uninstall. This old app had similar permissions but was not functioning properly.","Imagine again that you need to install a smartphone app that enables you to communicate with othe...-You need to install an app for a necessary, imminent, and time-critical communication. CommApp is one of the first apps that comes to mind because you heard about it last week.",Imagine again that you need to install a smartphone app that enables you to communicate with othe...-CommApp's description specifically mentions great video chat features.,You are in a situation where you need to install a social networking app on your smartphone. You ...,"Imagine again that you need to install a social networking app on your smartphone. You find one s...-You are aware that many of these permissions requested are unnecessary.  Instead of directly requesting the permissions, apps can use other mechanisms to upload files, take pictures, and record sound.",Imagine again that you need to install a social networking app on your smartphone. You find one s...-eSocializer is very popular with various advertisers who use it to target audiences based on their interests and/or locations.,Imagine again that you need to install a social networking app on your smartphone. You find one s...-You have a different popular social networking app on your phone which requests similar permissions.,Imagine again that you need to install a social networking app on your smartphone. You find one s...-Reviews of eSocializer frequently highlight its good privacy settings but caution that they are complex and difficult to properly implement.,"Imagine again that you need to install a social networking app on your smartphone. You find one s...-You have been invited by a friend to use eSocializer, an invite-only platform which assures you that potential future employers cannot access any of your information.",Imagine again that you need to install a social networking app on your smartphone. You find one s...-You do not have any social networking apps installed on your mobile device and eSocializer is very popular.,Imagine again that you need to install a social networking app on your smartphone. You find one s...-eSocializer is used by many people around you who seem to be well connected and informed as a result.,Imagine again that you need to install a social networking app on your smartphone. You find one s...-eSocializer describes why each requested permission is needed and how data collected from the phone is used.,Imagine again that you need to install a social networking app on your smartphone. You find one s...-Big companies in your professional domain look at the user profiles on eSocializer during the hiring process.,Imagine again that you need to install a social networking app on your smartphone. You find one s...-Your best friend uses eSocializer as his or her primary social networking app.,Please answer the next questions as related to your mobile device and apps.-I believe that the location of my mobile device is monitored at least part of the time.,Please answer the next questions as related to your mobile device and apps.-I am concerned that mobile apps are collecting too much information about me.,Please answer the next questions as related to your mobile device and apps.-I am concerned that mobile apps may monitor my activities on my mobile device.,"Please answer the next questions as related to your mobile device and apps.-I feel that as a result of my using mobile apps, others know about me more than I am comfortable with.","Please answer the next questions as related to your mobile device and apps.-I believe that as a result of my using mobile apps, information about me that I consider private is now more readily available to others than I would want.","Please answer the next questions as related to your mobile device and apps.-I feel that as a result of my using mobile apps, information about me is out there that, if used, will invade my privacy.",Please answer the next questions as related to your mobile device and apps.-I am concerned that mobile apps may use my personal information for other purposes without notifying me or getting my authorization.,"Please answer the next questions as related to your mobile device and apps.-When I give personal information to mobile apps, I am concerned that apps may use my information for other purposes.",Please answer the next questions as related to your mobile device and apps.-I am concerned that mobile apps may share my personal information with other entities without getting my authorization.,"Since you are already using Android 6.0, please answer the next three questions related to your c...",The next two questions relate to a change in the way app permissions work in Android 6.0 Marshmal...,Would you install and use apps under this new permissions model that you would not have installed...,Would you critically consider whether each permission requested was necessary for the app's funct...,Do you have any other comments or would you like to share any other considerations related to you...
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'SC_8vsy7yHqvEgjrV3-sum'},{'ImportId': 'SC_8vsy7yHqvEgjrV3-weightedAvg'},{'ImportId': 'SC_8vsy7yHqvEgjrV3-weightedStdDev'},{'ImportId': 'embeddedData-mTurkCode'},{'ImportId': 'QID58'},{'ImportId': 'QID3'},{'ImportId': 'QID4'},{'ImportId': 'QID5'},{'ImportId': 'QID6'},{'ImportId': 'QID7'},{'ImportId': 'QID8'},{'ImportId': 'QID66'},{'ImportId': 'QID9-1'},{'ImportId': 'QID9-2'},{'ImportId': 'QID9-3'},{'ImportId': 'QID9-4'},{'ImportId': 'QID9-5'},{'ImportId': 'QID9-6'},{'ImportId': 'QID9-7'},{'ImportId': 'QID9-8'},{'ImportId': 'QID9-10'},{'ImportId': 'QID9-9'},{'ImportId': 'QID9-9-TEXT'},{'ImportId': 'QID59'},{'ImportId': 'QID60'},{'ImportId': 'QID61'},{'ImportId': 'QID63'},{'ImportId': 'QID64'},{'ImportId': 'QID65'},{'ImportId': 'QID19'},{'ImportId': 'QID31'},{'ImportId': 'QID32'},{'ImportId': 'QID23-1'},{'ImportId': 'QID23-2'},{'ImportId': 'QID23-3'},{'ImportId': 'QID23-4'},{'ImportId': 'QID23-5'},{'ImportId': 'QID23-7'},{'ImportId': 'QID23-8'},{'ImportId': 'QID23-9'},{'ImportId': 'QID23-10'},{'ImportId': 'QID23-11'},{'ImportId': 'QID23-12'},{'ImportId': 'QID23-13'},{'ImportId': 'QID23-14'},{'ImportId': 'QID27'},{'ImportId': 'QID35'},{'ImportId': 'QID42'},{'ImportId': 'QID43-1'},{'ImportId': 'QID43-2'},{'ImportId': 'QID43-3'},{'ImportId': 'QID43-4'},{'ImportId': 'QID43-5'},{'ImportId': 'QID44-1'},{'ImportId': 'QID44-2'},{'ImportId': 'QID44-3'},{'ImportId': 'QID44-4'},{'ImportId': 'QID45'},{'ImportId': 'QID49-1'},{'ImportId': 'QID49-2'},{'ImportId': 'QID49-3'},{'ImportId': 'QID49-4'},{'ImportId': 'QID49-5'},{'ImportId': 'QID50-1'},{'ImportId': 'QID50-2'},{'ImportId': 'QID50-3'},{'ImportId': 'QID50-4'},{'ImportId': 'QID46'},{'ImportId': 'QID51-1'},{'ImportId': 'QID51-2'},{'ImportId': 'QID51-3'},{'ImportId': 'QID51-4'},{'ImportId': 'QID52-1'},{'ImportId': 'QID52-2'},{'ImportId': 'QID52-3'},{'ImportId': 'QID52-4'},{'ImportId': 'QID52-5'},{'ImportId': 'QID52-6'},{'ImportId': 'QID47'},{'ImportId': 'QID53-1'},{'ImportId': 'QID53-2'},{'ImportId': 'QID53-3'},{'ImportId': 'QID53-4'},{'ImportId': 'QID53-5'},{'ImportId': 'QID53-6'},{'ImportId': 'QID54-1'},{'ImportId': 'QID54-2'},{'ImportId': 'QID54-3'},{'ImportId': 'QID54-4'},{'ImportId': 'QID54-5'},{'ImportId': 'QID48'},{'ImportId': 'QID55-1'},{'ImportId': 'QID55-2'},{'ImportId': 'QID55-3'},{'ImportId': 'QID55-4'},{'ImportId': 'QID55-5'},{'ImportId': 'QID56-1'},{'ImportId': 'QID56-2'},{'ImportId': 'QID56-3'},{'ImportId': 'QID56-4'},{'ImportId': 'QID56-5'},{'ImportId': 'QID34-1'},{'ImportId': 'QID34-2'},{'ImportId': 'QID34-3'},{'ImportId': 'QID34-4'},{'ImportId': 'QID34-5'},{'ImportId': 'QID34-6'},{'ImportId': 'QID34-7'},{'ImportId': 'QID34-8'},{'ImportId': 'QID34-9'},{'ImportId': 'QID30'},{'ImportId': 'QID41'},{'ImportId': 'QID39'},{'ImportId': 'QID40'},{'ImportId': 'QID57-TEXT'}
R_YQta9ZClzkzsIeJ,Default Response Set,,2015-11-18 21:16:16,2015-11-18 21:20:58,,,,,1,0,56.0,6.222222222222222,1.986062547968831,26662,1,1,4,5,1,10,2,4,,,,,1,,1,,1,,,2,3,2,1,1,2,3,2,5,,,1,1,,1,,,1,1,1,,,,2,2,,,,,,4,,4,4,2,,,,,,5,,5,5,1,,,,,6,6,5,,,,3,,4,,4,5,,,,,,,2,,,,,,5,,4,,4,6,7,7,7,7,7,7,7,7,,6,2,2,no comments :)
R_21cA2q7qSabyOs0,Default Response Set,,2015-11-18 21:15:43,2015-11-18 21:21:31,,,,,1,0,49.0,5.444444444444445,2.0069324297987157,81746,1,2,4,3,1,10,2,4,1,,,,,1,,,1,,,1,5,4,2,4,1,2,4,4,,,1,,,1,,,1,1,1,,,,4,3,2,,3,3,,,,,,2,,,,,,,4,5,4,2,,,,,,,,5,6,4,1,,,,,,,4,5,,,5,5,,,,,,4,4,,4,,7,6,7,5,5,4,7,7,7,,6,2,1,"I know that chances are these companies are gathering more information than I am comfortable with, thanks to their app permissions, but in the end - everything gathers more info than I am comfortable with. I use Google for my email provider andd my search engine, but they're not great at using personal data, either."
R_308FLCgyJDGjccy,Default Response Set,,2015-11-18 21:15:27,2015-11-18 21:22:13,,,,,1,0,47.0,5.222222222222222,1.092906420717,12732,1,1,4,3,1,9,3,4,1,,1,,,1,,,,,,4,2,2,3,2,2,3,3,3,1,,1,,1,,,1,,,,,,,3,1,,,,,,,5,6,4,2,,,,,,5,4,,5,1,,,,,,5,,,6,5,1,,,,,,,,,5,4,5,2,,,,,,5,5,,6,,6,7,6,4,6,4,5,5,4,,6,2,2,No
R_3hsjIZGFcnYBkPP,Default Response Set,,2015-11-18 21:15:54,2015-11-18 21:22:13,,,,,1,0,45.0,5.0,1.9364916731037085,31084,1,2,4,3,1,12,2,3,,,,1,1,,,1,,,,3,4,3,2,2,2,3,4,4,,1,,,1,,1,,1,1,,,1,,2,4,,3,3,,2,,,,,2,,,,,,,5,4,5,2,,,,,,5,5,,5,,2,,,,,,,4,5,,4,,5,,,,,,,,4,4,4,7,5,5,5,7,4,4,7,7,,6,2,2,
R_dhvX1sYhE6xOzPH,Default Response Set,,2015-11-18 21:15:53,2015-11-18 21:22:43,,,,,1,0,49.0,5.444444444444445,0.5270462766947299,74768,1,2,5,5,1,10,3,1,,,1,1,,1,,,,,,5,3,3,4,2,3,2,3,3,,,,1,,,,,,1,,,,,2,1,,,,,,5,5,5,,1,,,,,,5,5,5,,2,,,,,5,,,6,,5,5,,,,,,,4,4,4,,,5,,,,,,5,,5,6,,6,6,5,5,5,5,5,6,6,,6,2,1,"Not really, no. I'm generally pretty cautious about which apps I install."
R_vHO1pOROb0e2mCR,Default Response Set,,2015-11-18 21:17:28,2015-11-18 21:23:46,,,,,1,0,36.0,4.0,1.4142135623730951,21289,1,1,5,5,1,8,3,3,,,,,1,,,1,1,,,2,1,3,4,2,4,1,2,4,,,,,,1,,,,1,,,1,,2,4,,,1,3,2,,,,,3,5,5,,,6,,,,,2,,,,,,,4,5,,5,4,5,5,,,,6,,,,,,2,,,,,,4,,,5,4,5,3,6,4,2,5,4,2,5,,6,2,2,None
R_30jfXGLaLSI2D3f,Default Response Set,,2015-11-18 21:17:35,2015-11-18 21:24:09,,,,,1,0,53.0,5.888888888888889,1.90029237516523,59639,1,2,4,5,1,8,3,4,1,,,1,1,,,,,,,4,4,2,4,2,2,2,2,4,1,,,,1,,1,,1,,,,,,3,3,,2,3,3,,,,,,2,,,,,,4,4,,4,2,,,,,5,,,5,,5,2,,,,,,,,4,,4,4,2,,,,,,5,4,,4,,7,6,7,6,6,6,7,7,7,,6,3,2,No
R_2EoBwPmkxMId2mW,Default Response Set,,2015-11-18 21:17:42,2015-11-18 21:24:15,,,,,1,0,45.0,5.0,0.0,92353,1,1,5,6,1,9,3,3,1,,,1,,,,1,,,,3,3,2,2,2,2,3,2,3,1,,1,,,,,,,,,,,,3,2,,,,,,,4,5,4,2,,,,,,5,,5,5,2,,,,,,5,4,,6,,2,,,,,,,5,4,,,5,2,,,,,,,4,4,,4,5,5,5,5,5,5,5,5,5,,6,2,2,none
